"last_name","first_name","hire_date"
"Hofman","Steen","1986-10-08"
"Legleitner","Mads","1986-07-11"
"Schauser","Gio","1986-10-23"
"Beznosov","Takanari","1986-06-10"
"Dichev","Gita","1986-11-01"
"Mamelak","Barna","1986-01-17"
"Sinitsyn","Junsik","1986-11-21"
"Anily","Snehasis","1986-03-03"
"Schwartzbauer","Behnaam","1986-10-17"
"Petersohn","Shem","1986-07-08"
"Chiodo","Mokhtar","1986-04-06"
"Streit","Serif","1986-03-17"
"Marrakchi","Teiji","1986-08-26"
"Denny","Nathan","1986-09-16"
"Giaccio","Hauke","1986-12-12"
"Baik","Aral","1986-03-29"
"Poupard","Seongbin","1986-09-29"
"Chinin","Tze","1986-09-22"
"Terkki","Joydip","1986-03-01"
"Zlotek","Jeanne","1986-09-03"
"Karner","Mikhail","1986-05-15"
"Schneeberger","Guenter","1986-04-20"
"Mukaidono","Boriana","1986-08-27"
"Avouris","Kristen","1986-09-13"
"Copas","Insup","1986-01-03"
"Wuwongse","Mayumi","1986-11-20"
"Riesenhuber","Dipankar","1986-11-25"
"Syrzycki","Shichao","1986-01-10"
"Sidje","Marin","1986-10-24"
"Luks","Boguslaw","1986-05-07"
"Kieras","Shigeu","1986-01-30"
"Kobuchi","Isamu","1986-02-02"
"Sgarro","Xuedong","1986-12-24"
"Walston","Ghassan","1986-06-15"
"Karunanithi","Armond","1986-11-13"
"Beznosov","Munehiko","1986-01-03"
"Salverda","Kristen","1986-07-29"
"Valiente","Kwok","1986-12-30"
"Salvesen","Mikhail","1986-08-09"
"Usery","Jaques","1986-01-11"
"Legleitner","Gunilla","1986-11-15"
"Dayang","Ibibia","1986-01-29"
"Godskesen","Richard","1986-03-22"
"Bellone","Rimli","1986-02-03"
"Lodder","Hisao","1986-05-08"
"Leslie","Pascal","1986-12-22"
"Baranowski","Jianwen","1986-05-09"
"Beznosov","Gennadi","1986-06-25"
"Sifakis","Serge","1986-06-07"
"Sadowski","Yuuichi","1986-02-22"
"Ramamoorthy","Filipe","1986-11-02"
"Fiutem","Billur","1986-06-11"
"Dymetman","Vidya","1986-01-01"
"Langford","Sigeru","1986-05-17"
"Cools","Marjo","1986-12-04"
"Wendorf","Boriana","1986-10-06"
"Olano","Shai","1986-11-15"
"Zhang","Boalin","1986-12-23"
"Narahari","Mario","1986-02-12"
"Syang","Naftali","1986-01-28"
"Birta","Lijia","1986-02-01"
"Ranum","Uli","1986-02-26"
"Khamsi","Gay","1986-05-27"
"Geffroy","Arne","1986-09-07"
"Muntz","Mrinalini","1986-04-28"
"Ligten","Feipei","1986-04-29"
"Fabrizio","Charlene","1986-02-13"
"Pileggi","Kazuyasu","1986-01-16"
"Zastre","Temple","1986-07-22"
"Huxford","Guther","1986-11-20"
"Petersohn","Yinghua","1986-09-25"
"Munoz","Steve","1986-12-10"
"Ramalingam","Mads","1986-08-01"
"Fujisaki","Xuedong","1986-03-09"
"Serre","Beshir","1986-12-08"
"Perl","Ottavia","1986-07-01"
"Basawa","Abdelwaheb","1986-10-28"
"Rossi","Xuedong","1986-04-12"
"Leuchs","Shawna","1986-09-08"
"Gire","Harngdar","1986-02-11"
"Hedayat","Constantine","1986-12-02"
"Jenevein","Barton","1986-03-24"
"Perly","Clyde","1986-09-10"
"Papsdorf","Yunming","1986-12-29"
"Suppi","Tsz","1986-03-08"
"Osgood","Georgi","1986-10-26"
"Sessa","Sandeepan","1986-06-22"
"Thiria","Ramzi","1986-12-14"
"Bahi","Demos","1986-10-05"
"Lunn","Boriana","1986-08-06"
"Cronau","Ziya","1986-09-14"
"Pellegrinelli","Lalit","1986-08-29"
"Kuhnemann","Sedat","1986-06-02"
"Ranon","Shay","1986-10-06"
"Weiland","Mansur","1986-07-19"
"Merkl","Zhanqiu","1986-07-21"
"Tchuente","Samphel","1986-06-23"
"Zizka","Gao","1986-10-24"
"Dichev","Masali","1986-02-02"
"Tetzlaff","Yurii","1986-12-26"
"Kleiser","Adin","1986-08-28"
"Hofting","Conor","1986-07-03"
"Serra","Petter","1986-07-05"
"Remmele","Jamaludin","1986-06-14"
"Karunanithi","Vasilii","1986-10-15"
"Lorys","Boutros","1986-07-15"
"Suermann","Jiakeng","1986-08-07"
"Thummel","Petter","1986-09-16"
"Puoti","Kwok","1986-08-27"
"Munke","Lihong","1986-04-13"
"Ramsak","Khue","1986-08-10"
"Tetzlaff","Udo","1986-04-09"
"Stavenow","Christoph","1986-04-12"
"Lund","Yuichiro","1986-01-28"
"Danecki","Danel","1986-05-04"
"Piazza","Kenroku","1986-11-02"
"Selvestrel","Lijia","1986-05-31"
"Bergere","Bodo","1986-05-14"
"Krychniak","Shridhar","1986-11-02"
"Sevcikova","Maik","1986-04-12"
"Alpin","Temple","1986-08-31"
"Farrar","Arnould","1986-03-01"
"Granlund","Arco","1986-11-22"
"Leijenhorst","Quingbo","1986-02-17"
"Benveniste","Wojceich","1986-06-23"
"Steenbeek","Charlene","1986-07-19"
"Biran","Fumino","1986-02-10"
"Zeidenstein","Youssef","1986-10-26"
"Hebert","Danae","1986-10-11"
"Angelov","Teruyuki","1986-11-08"
"Parascandalo","Maren","1986-07-06"
"Caine","JoAnne","1986-10-15"
"Zumaque","Jayson","1986-02-26"
"Ghazalie","Hilary","1986-05-04"
"Genther","Pradeep","1986-11-25"
"Guerreiro","Woody","1986-10-09"
"Gist","Kensei","1986-12-17"
"Boguraev","Zvonko","1986-12-28"
"Kusakabe","Yongmin","1986-01-26"
"Zwicker","Lihong","1986-09-03"
"Farrow","Dietrich","1986-02-16"
"Picaronny","Rosalyn","1986-12-07"
"Schaaf","Jingling","1986-06-29"
"Bugaenko","Wojceich","1986-09-03"
"Liesche","Gill","1986-02-27"
"Sgarro","Yoshimitsu","1986-08-26"
"Mitchem","Toong","1986-02-05"
"Ghalwash","Hercules","1986-10-12"
"Szilard","Keiichiro","1986-08-05"
"Brookman","Kellyn","1986-03-25"
"Radwan","Monique","1986-09-10"
"Fasbender","Souichi","1986-12-11"
"Sewelson","Xiping","1986-09-16"
"Teitelbaum","Gil","1986-07-16"
"Whittlesey","Jaideep","1986-09-30"
"Fairtlough","Hilari","1986-11-11"
"Massonet","Zejun","1986-10-20"
"Kugler","Amstein","1986-09-02"
"Rousseau","Atreyi","1986-04-13"
"Docker","Behnaam","1986-02-25"
"Baaz","Duangkaew","1986-12-17"
"Matzat","Shigehito","1986-08-07"
"Bultermann","Giordano","1986-06-01"
"Ferriere","Ute","1986-12-01"
"Valette","Fuqing","1986-03-10"
"Brodie","Avishai","1986-05-10"
"Thorensen","Vishwani","1986-07-19"
"Reghbati","Shugo","1986-11-10"
"Rosin","Roselyn","1986-02-16"
"Krogh","Ayakannu","1986-08-02"
"Hanratty","Qunsheng","1986-12-14"
"Veccia","Sven","1986-03-07"
"Eterovic","Ennio","1986-12-16"
"Katalagarianos","Sadegh","1986-01-28"
"Camurati","Neelam","1986-01-31"
"Bolsens","Mani","1986-04-04"
"Sridhar","Ohad","1986-08-05"
"Schneeberger","Suzette","1986-11-23"
"Heping","Mizuhito","1986-11-11"
"Merlo","Paraskevi","1986-05-02"
"Milicia","Arunachalam","1986-10-27"
"Yeung","Nechama","1986-02-02"
"Foote","Alselm","1986-05-01"
"Baik","Tsutomu","1986-04-22"
"Osgood","Leni","1986-08-05"
"Talmon","Petter","1986-08-17"
"Basawa","Mang","1986-02-10"
"Smailagic","Basem","1986-11-09"
"Kusalik","Takahira","1986-12-06"
"Pietrzykowski","Berthier","1986-06-30"
"Rotem","Oldrich","1986-03-06"
"Rothenberg","Kerhong","1986-03-07"
"Ferretti","Deborah","1986-12-17"
"Kitsuregawa","Xiaobin","1986-06-30"
"Prampolini","Dekang","1986-11-17"
"Taubenfeld","Maria","1986-12-15"
"Sadowski","Mohan","1986-07-30"
"Heusch","Xinyu","1986-04-21"
"Gecsei","Ioana","1986-03-11"
"Doering","Alejandra","1986-02-24"
"Hemaspaandra","Arup","1986-05-18"
"Ruther","Leon","1986-02-17"
"Hofman","Yuping","1986-09-03"
"Barreiro","Mani","1986-12-25"
"Jenevein","Tonia","1986-09-25"
"Schlegelmilch","Kristin","1986-01-21"
"Hellwagner","Maren","1986-05-08"
"Schade","Bodo","1986-02-14"
"Burnard","Eckart","1986-12-30"
"Luca","Stepehn","1986-10-09"
"Erol","Fabrizio","1986-02-28"
"Kulisch","Lokesh","1986-04-22"
"Welham","Abdelkader","1986-08-12"
"Kobara","Khun","1986-01-11"
"Lorch","Jackson","1986-12-05"
"Melski","Gal","1986-10-12"
"Baig","Xuejun","1986-05-30"
"Gronowski","Amalendu","1986-12-26"
"Belinskaya","Aamer","1986-12-13"
"Chinal","Jaideep","1986-04-30"
"Holburn","Kazuhira","1986-11-04"
"Cyre","Masaki","1986-09-20"
"Copas","Kiyokazu","1986-08-24"
"Aamodt","Theron","1986-03-16"
"Georg","Takushi","1986-02-13"
"Poupard","Aiichiro","1986-05-30"
"Conte","Alassane","1986-07-31"
"Masamoto","Jamaludin","1986-01-26"
"Tanemo","Shahid","1986-05-29"
"Riesenhuber","Oksana","1986-06-05"
"Marrevee","Xuejun","1986-09-03"
"Kugler","Youngkon","1986-06-24"
"Auyong","Mohan","1986-02-05"
"Gulak","Jiafu","1986-05-13"
"England","Piyawadee","1986-06-06"
"Baca","Genta","1986-08-21"
"Roisin","Gil","1986-10-15"
"Marquardt","Parke","1986-04-29"
"Wolniewicz","Boguslaw","1986-08-26"
"Pusterhofer","Jinpo","1986-04-19"
"Griswold","Junsik","1986-05-30"
"Holburn","Oldrich","1986-05-31"
"Ellozy","Manu","1986-11-18"
"Tokunaga","Kankanahalli","1986-11-14"
"Soicher","Leaf","1986-08-21"
"Kadhim","Tua","1986-09-01"
"Diderrich","Bojan","1986-04-16"
"Schoegge","Haldon","1986-06-07"
"Antonisse","Radhakrishnan","1986-09-12"
"Klyachko","Abdelaziz","1986-01-20"
"Kohling","Elvis","1986-02-25"
"Toyoshima","Frederique","1986-05-03"
"Ritzmann","Otilia","1986-06-22"
"Rossi","Sumant","1986-03-27"
"Shinomoto","Takahiro","1986-04-30"
"Langford","Olivera","1986-02-19"
"Halevi","Laurentiu","1986-06-17"
"Gewali","Herb","1986-11-11"
"Zuberek","Renny","1986-08-01"
"Segond","Taiji","1986-06-23"
"Yamaashi","Xinan","1986-01-29"
"Raney","Kaijung","1986-10-16"
"Pellegrinelli","Bader","1986-11-19"
"Asmuth","Reuven","1986-12-20"
"Gulik","Christoph","1986-02-17"
"Belinskaya","Boaz","1986-03-16"
"Czap","Mayumi","1986-01-16"
"Baar","Marla","1986-06-16"
"Deville","Conrado","1986-06-04"
"Basagni","Giri","1986-11-14"
"Lienhardt","Torsten","1986-08-19"
"Lamma","Gila","1986-07-17"
"Shackel","Christoper","1986-06-03"
"Waschkowski","Mari","1986-05-05"
"Dratva","Maris","1986-11-04"
"Vidal","Wanqing","1986-04-28"
"Buchter","Niclas","1986-03-29"
"Aseltine","Zhigen","1986-01-23"
"McDermid","Marit","1986-08-20"
"Bruckman","DAIDA","1986-10-16"
"Gomatam","Augustine","1986-07-23"
"Takkinen","Howell","1986-06-02"
"Kambil","Mari","1986-08-26"
"Maquelin","Hideo","1986-04-19"
"Muhlberg","Filipe","1986-09-23"
"Schwaller","Douadi","1986-11-30"
"Lorie","Taiji","1986-07-19"
"Gerlach","Abdulla","1986-06-13"
"Kowalchuk","Yucel","1986-05-29"
"Poupard","Parto","1986-02-19"
"Dengi","Kinh","1986-09-10"
"Lovengreen","Christoph","1986-08-24"
"Parascandalo","Weicheng","1986-06-02"
"Kolvik","Irene","1986-11-09"
"Chiola","Youjian","1986-12-12"
"Geffroy","Karsten","1986-08-13"
"Luit","Stabislas","1986-02-23"
"Acton","Pragnesh","1986-11-04"
"Soicher","Gennadi","1986-02-20"
"Gien","Paddy","1986-03-14"
"Erdmenger","Vishwani","1986-02-03"
"Jeansoulin","Zongyan","1986-08-01"
"Ravishankar","Elrique","1986-09-05"
"Stavenow","Guadalupe","1986-03-30"
"Stranks","Tsvetan","1986-05-20"
"Keohane","Khue","1986-07-20"
"Grospietsch","Tayeb","1986-11-30"
"Kavanagh","Jingling","1986-04-17"
"Stentiford","Jordanka","1986-05-05"
"Khalil","Eishiro","1986-10-13"
"Erez","Ravishankar","1986-06-22"
"Zweizig","Tzvetan","1986-03-14"
"Hitomi","Heather","1986-05-23"
"Kruskal","Howell","1986-07-14"
"Adachi","Serif","1986-02-17"
"Roohalamini","Vugranam","1986-06-12"
"Wroclawski","Goo","1986-12-14"
"Matzel","Subir","1986-06-20"
"Swiss","Olivera","1986-12-02"
"Byoun","Demin","1986-03-07"
"Veldwijk","Munir","1986-03-17"
"Jiafu","Freyja","1986-03-23"
"Skafidas","Mahmut","1986-03-16"
"Fargier","KayLiang","1986-02-23"
"Macedo","Billie","1986-10-03"
"Vickson","Srinidhi","1986-06-07"
"Ozeri","Boutros","1986-07-19"
"Ullian","Miyeon","1986-10-19"
"Schaad","Make","1986-10-08"
"Mukaidono","Pranjal","1986-06-15"
"Fadgyas","Jungsoon","1986-06-21"
"Schaaf","Amabile","1986-08-28"
"Fadgyas","Nevin","1986-02-18"
"Schaad","Chuanyi","1986-09-25"
"Sidou","Mingsen","1986-08-11"
"Panwar","Khaled","1986-07-06"
"Kakkad","Satosi","1986-10-21"
"Ermel","Ebbe","1986-06-15"
"Pelc","Adly","1986-01-11"
"Bierman","Anyuan","1986-06-13"
"Shumilov","Aamod","1986-09-18"
"Szilard","Vasilis","1986-07-29"
"Baba","Flemming","1986-02-12"
"Fadgyas","Shigenori","1986-12-02"
"Moehrke","Bodh","1986-01-11"
"Massonet","Ingmar","1986-03-31"
"Chinal","Freyja","1986-11-08"
"Kragelund","Genki","1986-03-28"
"Ruther","Niteen","1986-12-11"
"Lambe","Vidya","1986-07-16"
"Botman","Debatosh","1986-03-15"
"Botman","Kiam","1986-11-17"
"Salvesen","Akemi","1986-11-14"
"Kalorkoti","Takushi","1986-06-21"
"Jarecki","Mitsuyuki","1986-01-12"
"Cannane","Anyuan","1986-02-02"
"Fujisaki","Akemi","1986-12-16"
"Feinberg","Zita","1986-04-21"
"Picaronny","Erez","1986-12-22"
"Merkl","Karlis","1986-05-05"
"Liesche","Alejandro","1986-09-08"
"Riesenhuber","Lucien","1986-09-04"
"Kamber","Akhilish","1986-04-29"
"Koshiba","Jaideep","1986-09-16"
"Kossowski","Valeri","1986-03-04"
"Perfilyeva","Martina","1986-01-12"
"Shinomoto","Toong","1986-01-27"
"Chiodo","Boutros","1986-08-10"
"Zeleznik","Chrisa","1986-12-09"
"Underwood","Kazuhisa","1986-05-29"
"Nilsson","Luerbio","1986-11-17"
"Angelov","Jiang","1986-12-12"
"Chartres","Teiji","1986-04-04"
"Anido","Goetz","1986-10-26"
"Muhlberg","Tomokazu","1986-12-18"
"Eugenio","Ult","1986-07-11"
"Fujisawa","Mohd","1986-09-07"
"Molenaar","Martial","1986-03-30"
"Hiraishi","Masamitsu","1986-04-10"
"Rettelbach","Conrado","1986-03-20"
"Luders","Thodoros","1986-11-09"
"Lamparter","Tuval","1986-11-06"
"Daescu","Demin","1986-09-19"
"Fiutem","Ziva","1986-01-28"
"Apsitis","Yagil","1986-09-18"
"Bolsens","Khalil","1986-08-04"
"Thibadeau","Krisda","1986-03-08"
"Yetim","Tomokazu","1986-07-06"
"Bouloucos","Georgy","1986-10-16"
"Uehara","Samphel","1986-09-29"
"Riesenhuber","Mansur","1986-09-15"
"Perz","Reinhold","1986-05-15"
"Kavanagh","Flemming","1986-11-03"
"Chaudhury","Serge","1986-01-04"
"Silva","Demin","1986-04-27"
"Beetstra","Rasikan","1986-03-05"
"Chachaty","Kamakshi","1986-08-27"
"Marquardt","Yuguang","1986-12-27"
"Ratzlaff","Heather","1986-02-08"
"Baca","Yinghua","1986-03-16"
"Snedden","Kwee","1986-06-20"
"Smeets","Masanao","1986-04-06"
"Marshall","Juichirou","1986-02-22"
"Casley","Mooi","1986-10-29"
"Ozeki","Denny","1986-11-17"
"Genther","Chriss","1986-08-25"
"McFarlan","Jiann","1986-02-04"
"Schreiter","Gila","1986-07-06"
"Bouloucos","Rasiah","1986-02-16"
"Zongker","Dung","1986-05-29"
"Chimia","Karlis","1986-12-12"
"Pluym","Elliott","1986-04-23"
"Thiria","Elzbieta","1986-03-21"
"Linares","Zongyan","1986-04-15"
"Christianini","Moto","1986-05-03"
"Avouris","Susanta","1986-07-16"
"Berstel","Salvador","1986-02-05"
"Schurmann","Quingbo","1986-08-31"
"Figueira","Kwun","1986-05-27"
"Chenney","Pranav","1986-01-16"
"Oaver","Freyja","1986-10-21"
"Klyachko","Kiyotoshi","1986-04-13"
"Khalil","Douadi","1986-09-08"
"Alvarado","Bowen","1986-10-30"
"Daescu","Ipke","1986-11-18"
"Crooks","Xiaobin","1986-05-17"
"Masaki","Oscar","1986-07-26"
"Demizu","Jordanka","1986-05-08"
"Radhakrishnan","Zine","1986-11-19"
"Haldar","Nathan","1986-06-11"
"Maierhofer","Khoa","1986-08-14"
"Reghbati","Sushant","1986-09-08"
"Borstler","Pasqua","1986-04-11"
"Pollacia","Yoshinari","1986-01-29"
"Feldhoffer","Remmert","1986-04-01"
"Onuegbe","Palash","1986-02-03"
"Bardell","Shawna","1986-10-23"
"Marzano","Pasqua","1986-09-05"
"Nicolson","Shaowei","1986-07-19"
"Trelles","Junichi","1986-12-05"
"Ghandeharizadeh","Mamdouh","1986-01-08"
"Assaf","Magy","1986-07-07"
"Yavatkar","Woody","1986-10-14"
"Akiyama","Hidde","1986-02-15"
"Zeleznik","Berni","1986-08-23"
"Giveon","Boaz","1986-10-19"
"Pashtan","Gino","1986-08-03"
"Tasistro","Berhard","1986-02-20"
"Knightly","Xianlong","1986-05-09"
"Quaggetto","Conor","1986-10-08"
"Redmiles","Atreye","1986-01-21"
"Birrer","Qunsheng","1986-05-13"
"Benaini","Goh","1986-04-03"
"Krychniak","Giap","1986-04-05"
"Speek","Bernd","1986-12-20"
"Hainaut","Taiji","1986-02-03"
"Colorni","Lalit","1986-08-11"
"Hiroyama","Zorica","1986-06-16"
"Streit","Girolamo","1986-02-07"
"Foote","Hailing","1986-04-21"
"Ratnaker","Jaewoo","1986-06-02"
"Cronin","Toshimori","1986-08-24"
"Pellegrinelli","Frazer","1986-05-23"
"Meszaros","Dulce","1986-04-25"
"Fargier","Kerryn","1986-06-13"
"Weiland","Aksel","1986-08-26"
"Pleszkun","Frazer","1986-06-19"
"Katalagarianos","Valeska","1986-03-08"
"Marchesini","Mohua","1986-08-20"
"Foote","Susumu","1986-05-21"
"Ranta","Youjian","1986-07-04"
"Perez","Pranay","1986-05-13"
"Jonsson","Sastry","1986-05-01"
"Hitomi","Goetz","1986-08-29"
"Pepe","Kazunori","1986-09-11"
"Motley","Baziley","1986-02-20"
"Krychniak","Gadiel","1986-02-20"
"Melichar","Goetz","1986-11-09"
"Sgarro","Ghassan","1986-07-12"
"Laurillard","Danel","1986-06-23"
"Ventosa","Ottavia","1986-01-04"
"Trelles","Gilbert","1986-09-22"
"Hettesheimer","Jeanne","1986-02-16"
"Bernick","Mayuri","1986-12-17"
"Rathonyi","Ronnie","1986-02-19"
"Percebois","Khalil","1986-03-13"
"Bondorf","Leandro","1986-09-05"
"Zschoche","Tetsurou","1986-10-27"
"Huxford","Xiadong","1986-01-11"
"Baez","Chriss","1986-09-22"
"Bierman","Weiye","1986-06-19"
"Merli","Yifei","1986-06-07"
"Baca","Siddarth","1986-11-05"
"Riexinger","Stevo","1986-09-28"
"Borovoy","Richard","1986-01-23"
"Takkinen","Guangming","1986-05-24"
"Gente","Shuky","1986-09-16"
"Ramsak","Shao","1986-04-07"
"DuCasse","Fumiyo","1986-10-01"
"Paludetto","Eirik","1986-06-09"
"Landherr","Olivera","1986-06-23"
"Rikino","Irena","1986-03-08"
"Hanratty","Premal","1986-09-08"
"Panangaden","Stafford","1986-12-21"
"Litzkow","Garnik","1986-10-01"
"Schwabacher","Moon","1986-05-19"
"Ramsak","Sakthirel","1986-09-04"
"Levasseur","Maia","1986-12-12"
"Selenyi","Weiwu","1986-02-17"
"Ranst","Yurii","1986-11-01"
"Wuwongse","Teiji","1986-07-18"
"Biros","Hsiangchu","1986-08-02"
"Straney","Toshimori","1986-03-10"
"Basart","Renee","1986-10-30"
"Rajaraman","Arvin","1986-06-23"
"Poehlman","Gao","1986-11-26"
"Dalphin","Niclas","1986-01-25"
"Schwabacher","Cordelia","1986-06-19"
"Herber","Hitomi","1986-02-02"
"Detkin","Koldo","1986-06-28"
"Shumilov","Olivera","1986-03-19"
"Setia","Elgin","1986-04-12"
"Setlzner","Doowon","1986-10-22"
"Heijenga","Marin","1986-10-25"
"Murtha","Shahar","1986-06-06"
"Hoppenstand","Anyuan","1986-03-24"
"Chorvat","Bader","1986-03-26"
"Ponthieu","Abdulla","1986-10-10"
"Ladret","Zeydy","1986-07-19"
"Linnainmaa","Alain","1986-09-17"
"Casperson","Premsyl","1986-11-05"
"Ciolek","Chiradeep","1986-12-10"
"Gammage","Gou","1986-02-19"
"Thibadeau","Olivera","1986-12-23"
"Kalsbeek","Tse","1986-02-25"
"Mansanne","Miomir","1986-08-22"
"Begiun","Subbu","1986-07-21"
"Deville","Parke","1986-12-10"
"Thorensen","Elzbieta","1986-06-20"
"Swift","Clyde","1986-03-14"
"Suessmith","Subir","1986-01-05"
"Uehara","Sanjiv","1986-09-13"
"Papadias","Eldridge","1986-08-19"
"Usdin","Szabolcs","1986-12-17"
"Erdi","Mack","1986-09-29"
"Osgood","Shirish","1986-06-10"
"Basawa","Francesca","1986-02-05"
"Parhami","Spyrose","1986-10-01"
"Valtorta","Stamatina","1986-11-25"
"Hennebert","Mrinalini","1986-02-08"
"Giaccio","Odinaldo","1986-10-09"
"Melski","Tetsushi","1986-11-08"
"Marshall","Evgueni","1986-11-18"
"Hiltgen","Bodh","1986-06-16"
"Zuberek","Lobel","1986-08-04"
"Worfolk","Pranjal","1986-09-09"
"Porotnikoff","Satoru","1986-10-20"
"Peot","Xiong","1986-04-29"
"Birdsall","Trygve","1986-09-10"
"Rosar","Sangeeta","1986-10-12"
"Smeets","Morrie","1986-01-06"
"Shimshoni","Kwangsub","1986-12-13"
"Kaelbling","Lorien","1986-04-18"
"Ulupinar","Vitaly","1986-01-17"
"Baba","Gopalakrishnan","1986-12-15"
"Chartres","Macha","1986-02-24"
"Farrar","Gaetan","1986-07-12"
"Selvestrel","Zhiwei","1986-10-13"
"Ullian","Patricia","1986-04-15"
"Callaway","Uwe","1986-05-09"
"Schlegelmilch","Suzette","1986-01-22"
"Peltason","Henk","1986-05-30"
"Picel","Tzvetan","1986-06-07"
"Kalefeld","Cedric","1986-12-25"
"Ramaiah","Sampalli","1986-09-24"
"Marletta","Fabrizio","1986-03-27"
"Egerstedt","Giri","1986-09-24"
"Anily","Greger","1986-03-08"
"Dahlbom","Sajjan","1986-06-30"
"Marwedel","Jixiang","1986-11-12"
"Kavvadias","Arnould","1986-01-03"
"Sevcikova","Gianluca","1986-07-11"
"Gyorkos","Alain","1986-04-30"
"Walston","Kayoko","1986-06-13"
"Yoshimura","Mohammad","1986-08-01"
"Milicia","Takahiro","1986-10-13"
"Thorelli","Heon","1986-08-02"
"Maliniak","Nectarios","1986-01-16"
"Barvinok","Lobel","1986-05-07"
"Iacovou","Nigel","1986-11-28"
"Conta","Xumin","1986-04-03"
"Boreale","Jouni","1986-12-30"
"Peris","Mahmut","1986-01-06"
"Cooke","Ger","1986-11-06"
"Lamparter","Wilmer","1986-10-28"
"Ouhyoung","Rimli","1986-03-10"
"Ghemri","Samphel","1986-11-24"
"Swift","Weiru","1986-07-22"
"Marrevee","Munenori","1986-02-28"
"Zirintsis","Marin","1986-06-20"
"Osgood","Goa","1986-02-08"
"Hitomi","Sastry","1986-07-31"
"Peck","Indrajit","1986-06-16"
"Schaad","Khedija","1986-10-02"
"Melichar","Boaz","1986-09-05"
"Georgakopoulos","Aluzio","1986-03-25"
"Oaver","Supot","1986-03-15"
"Asser","Hatem","1986-02-28"
"Sudbeck","Poornachandra","1986-08-13"
"Yamaashi","Arnd","1986-10-14"
"Swick","Shim","1986-08-19"
"Zhang","Licheng","1986-08-16"
